Date,ECOPETROL.CL,GEB.CL,PFCIBEST.CL,CIBEST.CL,GOOGL,AAPL,BVC.CL,NKE,IVV
2015-01-02,705.91064453125,730.9342651367188,14480.4287109375,14993.7802734375,62368.58773231506,57457.425594329834,4849.4287109375,97633.02612304688,405285.00175476074
2015-01-05,655.3594360351562,710.6930541992188,14144.8525390625,14787.642578125,62597.02302932739,57131.872901916504,4479.94921875,98285.69675445557,407389.37393188477
2015-01-06,655.3594360351562,710.6930541992188,14144.8525390625,14896.130859375,61504.39846801758,57560.4928894043,4479.94921875,98431.2855834961,406709.18701171875
2015-01-07,662.5812377929688,710.6930541992188,14327.8955078125,14755.0947265625,60822.5142288208,57890.77258300781,4479.94921875,99643.75143432617,408376.81091308594
2015-01-08,680.6351928710938,737.6812133789062,14216.0341796875,14429.611328125,60054.05434799194,59149.44423866272,4526.1328125,100306.43148803711,408995.443939209
2015-01-09,707.7161254882812,760.1715698242188,13921.1396484375,14483.857421875,59991.14611816406,59882.094146728516,4526.1328125,100321.82312011719,410127.7600097656
2015-01-13,691.467529296875,757.922607421875,14226.20703125,14646.603515625,59080.38137886254,57905.66665120609,4849.4287109375,97579.6234272765,398935.9454392269
2015-01-14,691.467529296875,757.922607421875,14226.20703125,14212.6279296875,60891.32874298096,58967.872175216675,4849.4287109375,98384.82357788086,405343.6629638672
2015-01-15,684.2460327148438,742.1793823242188,13860.1259765625,14386.2138671875,60272.85496520996,57001.08335971832,4549.2265625,96817.6442604065,398972.99014282227
2015-01-16,667.9974365234375,739.9302978515625,13890.634765625,14321.1181640625,59943.03515625,55537.948486328125,4595.4111328125,95255.5966796875,396799.4541015625
2015-01-20,667.9974365234375,735.4322509765625,13809.279296875,14375.3662109375,60033.698669433594,57112.79225921631,4433.763671875,96133.64226531982,398784.7996520996
2015-01-21,675.2188720703125,735.4322509765625,13921.1396484375,14364.5146484375,61289.75224494934,57573.039054870605,4387.57861328125,96071.3882446289,400913.4159088135
2015-01-22,696.8837890625,733.1832275390625,13931.3095703125,14592.357421875,63201.41175079346,58996.225036621094,4341.39453125,98351.08047485352,406280.82611083984
2015-01-23,704.1052856445312,733.1832275390625,14083.8466796875,14657.4501953125,64070.8957824707,59600.65933227539,4433.763671875,99168.36688232422,406151.7373046875
2015-01-26,734.797119140625,746.677490234375,14521.1005859375,14928.6826171875,62387.955825805664,58662.895568847656,4549.2265625,97697.13385009766,400401.3103027344
2015-01-27,734.797119140625,746.677490234375,14521.1005859375,14906.9814453125,60590.50788069656,56616.15987578267,4549.2265625,95833.50399610866,395073.008335568
2015-01-28,732.99169921875,724.1871337890625,14531.2724609375,14831.0380859375,59030.859062194824,59273.35072135925,4503.04150390625,93766.95957565308,386421.24559020996
2015-01-29,713.13232421875,719.68896484375,14409.2451171875,14896.130859375,61362.7156085968,63434.029525756836,4526.1328125,98946.08101654053,404900.47634887695
2015-01-30,709.5215454101562,719.68896484375,14449.9189453125,14896.130859375,63393.44423074275,61652.80566477217,4456.85693359375,94900.59436376579,394310.88446623087
2015-02-02,751.045654296875,733.1832275390625,14449.9189453125,14473.0126953125,63459.25720024109,63119.3449344635,4433.763671875,95610.87764167786,403531.02252960205
2015-02-03,751.045654296875,733.1832275390625,14449.9189453125,14624.8984375,62334.2135181427,61882.893657684326,4433.763671875,95180.13116455078,401182.2524871826
2015-02-04,832.2886352539062,751.1754760742188,14348.228515625,14538.1064453125,62353.59603881836,63230.55419921875,4549.2265625,95675.27099609375,405359.00314331055
2015-02-05,790.764404296875,757.922607421875,14205.8681640625,14592.357421875,62493.525992393494,63375.45568943024,4572.3193359375,96038.06194877625,407629.77324676514
2015-02-06,805.2074584960938,742.1793823242188,14205.8681640625,14635.7509765625,63018.88508675527,62889.33441633498,4479.94921875,94514.74830455985,406621.7221122645
2015-02-09,801.5966796875,742.1793823242188,14053.333984375,14483.857421875,62048.06970977783,62873.57684326172,4479.94921875,93233.45137023926,402100.5428466797
2015-02-10,801.5966796875,742.1793823242188,14053.333984375,14277.72265625,63778.91303443909,64542.28101348877,4479.94921875,95531.33062362671,409374.940322876
2015-02-11,754.6563720703125,726.4362182617188,14012.6591796875,14256.0244140625,64150.83162689209,66707.02543258667,4456.85693359375,94976.35578918457,413613.88176727295
2015-02-12,747.4349365234375,724.1871337890625,13880.46484375,13887.146484375,64672.72578716278,67101.50730609894,4318.30126953125,95057.30512809753,414686.54751586914
2015-02-13,767.2943725585938,730.9342651367188,13555.060546875,13973.9365234375,65091.395946502686,67232.87358951569,4341.39453125,94819.92797279358,415338.7819137573
2015-02-17,788.9589233398438,733.1832275390625,13565.2314453125,13767.8046875,63278.598757542204,66488.06630437262,4479.94921875,93037.02485594898,409062.15862870216
