Date,AAPL,BVC.CL,CIBEST.CL,ECOPETROL.CL,GEB.CL,GOOGL,IVV,NKE,PFCIBEST.CL
2021-01-01,,7519.28076171875,,1159.4449462890625,1683.3388671875,,,,22613.947265625
2021-01-04,125.97450256347656,7506.6220703125,22459.7734375,1157.8956298828125,1699.2193603515625,85.65928649902344,344.7278747558594,130.46531677246094,21898.8046875
2021-01-05,127.5320053100586,7557.25732421875,23914.634765625,1183.71826171875,1715.0999755859375,86.35005950927734,347.0091552734375,131.51760864257812,21905.248046875
2021-01-06,123.23906707763672,7557.25732421875,22862.03515625,1191.981689453125,1708.74755859375,85.49799346923828,349.104248046875,132.560546875,22001.892578125
2021-01-07,127.44436645507812,7772.4560546875,23002.826171875,1225.5513916015625,1626.8040771484375,88.05171203613281,354.2720031738281,134.98178100585938,22240.2734375
2021-01-08,128.5443878173828,8038.2880859375,23532.4765625,1238.9791259765625,1628.0743408203125,89.21739959716797,356.2926025390625,136.2855224609375,22401.337890625
2021-01-11,125.55586242675781,8038.2880859375,,1238.9791259765625,1628.0743408203125,87.15597534179688,353.96478271484375,136.93739318847656,22401.337890625
2021-01-12,125.38065338134766,8038.2880859375,23465.431640625,1269.966796875,1613.46435546875,86.22003173828125,354.0205993652344,135.07492065429688,22330.470703125
2021-01-13,127.41516876220703,8038.2880859375,23183.845703125,1259.12109375,1641.4140625,86.70735931396484,354.91461181640625,133.20314025878906,22162.95703125
2021-01-14,125.48773956298828,8038.2880859375,23049.7578125,1282.8780517578125,1715.0999755859375,85.89698028564453,353.6854553222656,131.5828094482422,22098.53125
2021-01-15,123.76473236083984,8038.2880859375,22191.599609375,1249.8248291015625,1734.15625,85.73323059082031,351.134033203125,131.0426788330078,21653.986328125
2021-01-18,,8006.6416015625,22426.25,1260.154052734375,1748.1314697265625,,,,21898.8046875
2021-01-19,124.43641662597656,8006.6416015625,22030.689453125,1265.318603515625,1784.339111328125,88.55441284179688,353.88104248046875,129.69239807128906,21576.671875
2021-01-20,128.52491760253906,8038.2880859375,21728.9921875,1258.6044921875,1787.514892578125,93.29856872558594,358.7508850097656,132.97967529296875,21647.5390625
2021-01-21,133.23641967773438,7974.99462890625,21554.6796875,1243.6273193359375,1784.339111328125,93.50102996826172,359.0674133300781,131.87149047851562,21003.267578125
2021-01-22,135.37802124023438,8031.95947265625,20890.94140625,1215.7386474609375,1804.031005859375,93.91838073730469,357.8476257324219,129.7668914794922,20487.849609375
2021-01-25,139.1258087158203,7956.0068359375,20435.044921875,1200.244873046875,1764.647216796875,94.00372314453125,359.2723083496094,128.09072875976562,20230.142578125
2021-01-26,139.3594512939453,7848.4072265625,20649.587890625,1220.9033203125,1782.4334716796875,94.6821060180664,358.7415466308594,125.80918884277344,20152.82421875
2021-01-27,138.2886505126953,7753.46630859375,20113.232421875,1151.6982421875,1778.6220703125,90.26497650146484,349.98883056640625,122.00975799560547,19727.607421875
2021-01-28,133.4506072998047,8063.60498046875,20046.185546875,1107.79931640625,1775.446044921875,91.96514129638672,352.9497985839844,125.455322265625,19811.365234375
2021-01-29,128.456787109375,7816.7607421875,20515.49609375,1048.40673828125,1658.5654296875,90.68282318115234,345.9383239746094,124.40299987792969,20307.455078125
2021-02-01,130.5789031982422,7816.7607421875,20924.4609375,1048.40673828125,1658.5654296875,93.94369506835938,351.59967041015625,126.37723541259766,20307.455078125
2021-02-02,131.40635681152344,7785.11376953125,21192.634765625,1079.91064453125,1679.527587890625,95.23641967773438,356.5905456542969,129.9903564453125,20745.560546875
2021-02-03,130.38418579101562,7696.50244140625,20783.669921875,1079.3941650390625,1651.57763671875,102.17201232910156,356.86993408203125,129.09640502929688,20552.27734375
2021-02-04,133.7426300048828,7683.84375,20783.669921875,1102.6346435546875,1632.5208740234375,101.91149139404297,360.9110412597656,130.95887756347656,20449.1953125
2021-02-05,133.32827758789062,7772.4560546875,21118.890625,1112.9639892578125,1631.8858642578125,103.65828704833984,362.3264465332031,135.1307830810547,20809.986328125
2021-02-08,133.47450256347656,7759.796875,21219.455078125,1136.2044677734375,1682.70361328125,103.44440460205078,365.0546569824219,133.5476837158203,21132.125
2021-02-09,132.59715270996094,7740.80908203125,21246.26953125,1137.7537841796875,1664.281982421875,102.99132537841797,364.74737548828125,132.03909301757812,20925.955078125
2021-02-10,131.99266052246094,7721.8212890625,21125.59375,1133.6221923828125,1676.986572265625,103.54167175292969,364.59844970703125,132.6630096435547,20906.62890625
2021-02-11,131.7392120361328,7911.701171875,20823.89453125,1105.217041015625,1702.395263671875,103.65431213378906,365.21295166015625,133.668701171875,20487.849609375
2021-02-12,131.97314453125,7949.677734375,20683.1015625,1110.381591796875,1689.69091796875,103.96595764160156,367.0380554199219,132.3463897705078,20487.849609375
2021-02-15,,7804.1025390625,20716.626953125,1131.0399169921875,1702.395263671875,,,,20526.505859375
2021-02-16,129.8478546142578,7835.74951171875,20716.626953125,1141.3690185546875,1675.71630859375,104.74358367919922,366.7493896484375,131.96461486816406,20339.66796875
2021-02-17,127.55684661865234,8025.62939453125,20917.7578125,1136.2044677734375,1701.7601318359375,105.1366195678711,366.7959289550781,134.08779907226562,20391.208984375
2021-02-18,126.45516204833984,8025.62939453125,20709.91796875,1113.4803466796875,1675.71630859375,104.50090789794922,365.2408142089844,135.1121368408203,20197.927734375
2021-02-19,126.61116027832031,7899.0419921875,20850.712890625,1118.12841796875,1664.9169921875,103.65729522705078,364.5519104003906,132.2532958984375,20410.5390625
